video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
Boat_2k,32,veryslow,64487.48,34.4233,37.6753,39.1933
Boat_2k,37,veryslow,36277.92,30.9347,36.4470,37.8426
Boat_2k,22,placebo,178311.70,42.1615,42.6806,43.6216
Boat_2k,27,placebo,109492.20,38.1832,39.6405,40.9640
Boat_2k,32,placebo,64567.71,34.4244,37.6740,39.1977
Boat_2k,37,placebo,36248.66,30.9301,36.4493,37.8515
FoodMarket_2k,22,ultrafast,98697.56,41.3898,44.7062,45.2461
FoodMarket_2k,27,ultrafast,44837.17,38.9321,42.8353,43.8223
FoodMarket_2k,32,ultrafast,23201.16,36.8684,41.4594,42.6456
FoodMarket_2k,37,ultrafast,12558.03,34.7610,40.4068,41.6333
FoodMarket_2k,22,superfast,96872.34,41.5663,44.7646,45.2704
FoodMarket_2k,27,superfast,43135.14,39.0680,42.8442,43.7755
FoodMarket_2k,32,superfast,22441.71,37.0486,41.4345,42.5585
FoodMarket_2k,37,superfast,12247.46,34.9364,40.3761,41.5294
FoodMarket_2k,22,veryfast,97007.34,41.5858,44.7797,45.2904
FoodMarket_2k,27,veryfast,43049.23,39.1045,42.8545,43.7885
FoodMarket_2k,32,veryfast,22463.43,37.0891,41.4389,42.5613
FoodMarket_2k,37,veryfast,12168.63,34.9552,40.3697,41.5165
FoodMarket_2k,22,faster,97007.34,41.5858,44.7797,45.2904
FoodMarket_2k,27,faster,43049.23,39.1045,42.8545,43.7885
FoodMarket_2k,32,faster,22463.43,37.0891,41.4389,42.5613
FoodMarket_2k,37,faster,12168.63,34.9552,40.3697,41.5165
FoodMarket_2k,22,fast,97008.75,41.5858,44.7797,45.2904
FoodMarket_2k,27,fast,43050.65,39.1045,42.8545,43.7885
FoodMarket_2k,32,fast,22464.84,37.0891,41.4389,42.5613
FoodMarket_2k,37,fast,12170.05,34.9552,40.3697,41.5165
FoodMarket_2k,22,medium,96908.21,41.5924,44.7791,45.2896
